what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1433712098282
error,log,,,"SOPC design not set.",1433712098292
error,log,,,"CPU module not set.",1433712098302
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433712098302
error,log,,,"CPU architecture type not set. ",1433712098312
error,log,,,"CPU master group not set.",1433712098322
error,log,,,"SOPC design not set.",1433712098322
error,log,,,"CPU module not set.",1433712098332
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433712098332
error,log,,,"CPU architecture type not set. ",1433712098342
error,log,,,"CPU master group not set.",1433712098342
error,log,,,"Connected system ID hash not found on target at expected base address.",1433712098352
error,log,,,"Connected system timestamp not found on target at expected base address.",1433712098382
error,log,,,"SOPC design not set.",1433712098392
error,log,,,"CPU module not set.",1433712098392
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433712098402
error,log,,,"CPU architecture type not set. ",1433712098402
error,log,,,"CPU master group not set.",1433712098412
error,log,,,"Connected system ID hash not found on target at expected base address.",1433712098412
error,log,,,"Connected system timestamp not found on target at expected base address.",1433712098422
error,log,,,"SOPC design not set.",1433712098432
error,log,,,"CPU module not set.",1433712098432
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433712098442
error,log,,,"CPU architecture type not set. ",1433712098442
error,log,,,"CPU master group not set.",1433712098452
