what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1433715508876
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433715511981
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433715570000
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1433715571460
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433715617600
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433715631652
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433715632851
error,log,,,"SOPC design not set.",1433715632902
error,log,,,"CPU module not set.",1433715632914
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433715632922
error,log,,,"CPU architecture type not set. ",1433715632931
error,log,,,"CPU master group not set.",1433715632939
error,log,,,"SOPC design not set.",1433715633002
error,log,,,"CPU module not set.",1433715633010
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433715633018
error,log,,,"CPU architecture type not set. ",1433715633026
error,log,,,"CPU master group not set.",1433715633034
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433715636777
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433715643303
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433715651565
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1433715660326
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1433715662791
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1433715663333
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1433715666234
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1433715667701
