what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433714328291
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1433714331412
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1433714338729
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1433714340380
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1433714347895
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1433714350300
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714350583
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714426102
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714426698
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714430408
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1433714447207
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1433714449111
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433714450181
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1433714453441
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714455279
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714458371
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714458422
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714460628
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714464401
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714523675
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1433714525499
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433714528789
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433714550452
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433714555798
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433714578142
