what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172585344
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172592767
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437172592774
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437172596580
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1437172601461
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172601556
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172610977
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1437172610977
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437172610977
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172621114
started,bundle,com.altera.sbtgui.ui,10.1.0.153,"com.altera.sbtgui.ui",1437172628762
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172691858
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172714168
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172717443
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172719810
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172770416
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172770868
closed,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437172772529
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172772654
executed,command,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1437172772654
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437172772654
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172786432
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437172794749
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1437172801855
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437172804281
