what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433715679301
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1433715680316
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1433715682797
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1433715687304
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433715690943
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433715764798
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1433715766650
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433715774959
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433715824464
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1433715825580
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1433715825582
error,log,,,"SOPC design not set.",1433715825615
error,log,,,"CPU module not set.",1433715825623
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433715825630
error,log,,,"CPU architecture type not set. ",1433715825636
error,log,,,"CPU master group not set.",1433715825642
error,log,,,"SOPC design not set.",1433715825734
error,log,,,"CPU module not set.",1433715825739
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1433715825745
error,log,,,"CPU architecture type not set. ",1433715825750
error,log,,,"CPU master group not set.",1433715825756
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433715825845
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433715829593
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1433715832214
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1433715833448
