what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1437179055583
error,log,,,"CPU master group not set.",1437179055583
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1437179055661
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1437179058502
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1437179064246
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437179110266
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437179850195
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437180067479
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437180147337
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437180170259
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437180242754
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437180246373
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437180602106
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437181591153
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437181878341
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437181973750
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437181981856
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182761461
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437182870731
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1437182871387
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437182872697
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437182874444
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437182874678
activated,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1437182878375
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1437182881542
