what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187465158
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187468419
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187468435
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187487243
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187487274
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187489959
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437187490585
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437187490819
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437187492911
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437187496378
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437187497080
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437187498281
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437187506956
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187511184
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187542771
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437187542787
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437187549259
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437187549556
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1437187551902
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187553282
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187556881
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1437187558971
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437187564664
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1437187565742
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437187566041
