what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437185690960
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437185691428
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437185698778
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437185705923
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185709390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185763911
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1437185765783
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185766095
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185780793
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1437185787801
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProgressView",1437185787864
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437185791639
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1437185793105
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185793417
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185806685
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185808562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185844895
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437185844895
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437185846143
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185849045
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185851229
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185851619
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437185856255
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437185878343
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.selectAll",1437185931384
