what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437182883247
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437182885041
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437182887708
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182899081
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182909141
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182924499
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182938920
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1437182945933
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182952094
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182958275
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1437182966076
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1437182966793
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182975690
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437182981651
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1437182984420
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1437182985788
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1437182989559
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1437182990317
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1437182990653
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1437182997023
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1437182998763
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1437183000982
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1437183002603
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1437183005786
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1437183009022
