what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192421588
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192421588
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192424217
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1437192424232
opened,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437192425545
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437192425591
opened,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437192427219
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437192427234
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1437192428297
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437192433440
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1437192436912
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192438910
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192441021
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192441568
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192443944
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1437192447879
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192448160
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192448300
executed,command,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.project.buildProject",1437192450072
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192450337
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192500824
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1437192500824
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192511620
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1437192512744
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1437192515777
