what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1431437285648
error,log,,,"SOPC design not set.",1431437285648
error,log,,,"CPU module not set.",1431437285658
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437285668
error,log,,,"CPU architecture type not set. ",1431437285668
error,log,,,"CPU master group not set.",1431437285678
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437285688
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437285688
error,log,,,"SOPC design not set.",1431437285698
error,log,,,"CPU module not set.",1431437285699
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437285699
error,log,,,"CPU architecture type not set. ",1431437285701
error,log,,,"CPU master group not set.",1431437285707
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437285731
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437285731
error,log,,,"SOPC design not set.",1431437285741
error,log,,,"CPU module not set.",1431437285741
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437285751
error,log,,,"CPU architecture type not set. ",1431437285751
error,log,,,"CPU master group not set.",1431437285761
error,log,,,"Select one of the available target connection paths.",1431437285761
error,log,,,"SOPC design not set.",1431437285771
error,log,,,"CPU module not set.",1431437285772
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437285773
error,log,,,"CPU architecture type not set. ",1431437285778
