what,kind,bundleId,bundleVersion,description,time
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437727406
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437727406
error,log,,,"SOPC design not set.",1431437727411
error,log,,,"CPU module not set.",1431437727417
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437727431
error,log,,,"CPU architecture type not set. ",1431437727441
error,log,,,"CPU master group not set.",1431437727451
error,log,,,"SOPC design not set.",1431437727451
error,log,,,"SOPC design not set.",1431437727461
error,log,,,"CPU module not set.",1431437727471
error,log,,,"CPU module not set.",1431437727481
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437727482
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437727482
error,log,,,"CPU architecture type not set. ",1431437727488
error,log,,,"CPU architecture type not set. ",1431437727508
error,log,,,"CPU master group not set.",1431437727518
error,log,,,"CPU master group not set.",1431437727528
error,log,,,"SOPC design not set.",1431437727548
error,log,,,"CPU module not set.",1431437727548
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437727549
error,log,,,"CPU architecture type not set. ",1431437727551
error,log,,,"CPU master group not set.",1431437727565
error,log,,,"SOPC design not set.",1431437727616
error,log,,,"CPU module not set.",1431437727616
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437727631
