what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU master group not set.",1431437725802
error,log,,,"Expected base address of system ID component is undefined.",1431437725825
error,log,,,"SOPC design not set.",1431437725825
error,log,,,"CPU module not set.",1431437725835
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437725835
error,log,,,"CPU architecture type not set. ",1431437725845
error,log,,,"CPU master group not set.",1431437725855
error,log,,,"Expected base address of system ID component is undefined.",1431437725855
error,log,,,"SOPC design not set.",1431437725865
error,log,,,"CPU module not set.",1431437725866
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437725866
error,log,,,"CPU architecture type not set. ",1431437725869
error,log,,,"CPU master group not set.",1431437725891
error,log,,,"Expected base address of system ID component is undefined.",1431437725891
error,log,,,"SOPC design not set.",1431437727341
error,log,,,"CPU module not set.",1431437727342
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437727346
error,log,,,"CPU architecture type not set. ",1431437727352
error,log,,,"CPU master group not set.",1431437727375
error,log,,,"Expected base address of system ID component is undefined.",1431437727375
error,log,,,"SOPC design not set.",1431437727385
error,log,,,"CPU module not set.",1431437727385
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437727395
error,log,,,"CPU architecture type not set. ",1431437727395
error,log,,,"CPU master group not set.",1431437727405
