what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437578796
error,log,,,"CPU architecture type not set. ",1431437578804
error,log,,,"CPU master group not set.",1431437578811
error,log,,,"CPU architecture type not set. ",1431437578833
error,log,,,"CPU master group not set.",1431437578853
error,log,,,"SOPC design not set.",1431437578863
error,log,,,"CPU module not set.",1431437578870
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437578903
error,log,,,"CPU architecture type not set. ",1431437578903
error,log,,,"CPU master group not set.",1431437578923
error,log,,,"SOPC design not set.",1431437578933
error,log,,,"CPU module not set.",1431437578940
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437578961
error,log,,,"CPU architecture type not set. ",1431437578971
error,log,,,"CPU master group not set.",1431437578981
error,log,,,"SOPC design not set.",1431437579002
error,log,,,"CPU module not set.",1431437579004
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437579027
error,log,,,"CPU architecture type not set. ",1431437579027
error,log,,,"CPU master group not set.",1431437579047
error,log,,,"SOPC design not set.",1431437579067
error,log,,,"CPU module not set.",1431437579077
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437579083
error,log,,,"CPU architecture type not set. ",1431437579090
error,log,,,"CPU master group not set.",1431437579113
