what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437295288
error,log,,,"CPU architecture type not set. ",1431437295291
error,log,,,"CPU master group not set.",1431437295314
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437295314
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437295324
error,log,,,"SOPC design not set.",1431437295324
error,log,,,"CPU module not set.",1431437295334
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437295344
error,log,,,"CPU architecture type not set. ",1431437295344
error,log,,,"CPU master group not set.",1431437295354
error,log,,,"SOPC design not set.",1431437295355
error,log,,,"CPU module not set.",1431437295370
error,log,,,"SOPC design not set.",1431437295380
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437295390
error,log,,,"CPU module not set.",1431437295390
error,log,,,"CPU architecture type not set. ",1431437295400
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437295400
error,log,,,"CPU master group not set.",1431437295410
error,log,,,"CPU architecture type not set. ",1431437295410
error,log,,,"CPU master group not set.",1431437295420
error,log,,,"SOPC design not set.",1431437295430
error,log,,,"CPU module not set.",1431437295431
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437295436
error,log,,,"CPU architecture type not set. ",1431437295441
error,log,,,"CPU master group not set.",1431437295464
