what,kind,bundleId,bundleVersion,description,time
error,log,,,"CPU architecture type not set. ",1431437604965
error,log,,,"CPU master group not set.",1431437604975
error,log,,,"CPU master group not set.",1431437604976
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437604976
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437604982
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437604988
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437605010
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437605010
error,log,,,"SOPC design not set.",1431437605020
error,log,,,"CPU module not set.",1431437605030
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437605050
error,log,,,"SOPC design not set.",1431437605051
error,log,,,"CPU module not set.",1431437605076
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437605086
error,log,,,"CPU architecture type not set. ",1431437605086
error,log,,,"CPU architecture type not set. ",1431437605096
error,log,,,"CPU master group not set.",1431437605096
error,log,,,"CPU master group not set.",1431437605120
error,log,,,"SOPC design not set.",1431437605153
error,log,,,"CPU module not set.",1431437605163
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437605173
error,log,,,"CPU architecture type not set. ",1431437605183
error,log,,,"CPU master group not set.",1431437605184
error,log,,,"SOPC design not set.",1431437605210
error,log,,,"CPU module not set.",1431437605220
