what,kind,bundleId,bundleVersion,description,time
error,log,,,"Target is broken and needs to be reset",1431437288751
error,log,,,"SOPC design not set.",1431437288834
error,log,,,"CPU module not set.",1431437288834
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1431437288844
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437288845
error,log,,,"CPU architecture type not set. ",1431437288850
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437288858
error,log,,,"CPU master group not set.",1431437288881
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437288891
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437288891
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437288977
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437288987
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437289091
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437289101
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437289195
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437289198
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437289317
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437289327
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437289431
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437289431
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437289534
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437289544
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437289647
error,log,,,"Connected system timestamp not found on target at expected base address.",1431437289647
error,log,,,"Connected system ID hash not found on target at expected base address.",1431437289754
